# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   65       2.122805402632e-10       3.199150237567e-14      -4.431764891559e-13       0.000000000000e+00       2.791001108327e-11       3.472577946177e-12      -7.525579779547e-15 
   66       2.150970032265e-10       3.343612868874e-14      -4.897128801378e-13       0.000000000000e+00       2.693571732422e-11       3.367570063730e-12      -7.431482769585e-15 
   67       2.179396444104e-10       3.491137726764e-14      -5.378589941050e-13       0.000000000000e+00       2.600491633259e-11       3.266966068033e-12      -7.368279945963e-15 
   68       2.208061404959e-10       3.641645456193e-14      -5.876068088113e-13       0.000000000000e+00       2.511198849845e-11       3.170283094092e-12      -7.391660895239e-15 
   69       2.236973583482e-10       3.795065321948e-14      -6.389326446363e-13       0.000000000000e+00       2.425627515408e-11       3.077474281644e-12      -7.503958517247e-15 
   70       2.266147544886e-10       3.951325245459e-14      -6.918060226988e-13       0.000000000000e+00       2.343796940576e-11       2.988556888082e-12      -7.691720777366e-15 
   71       2.295594170209e-10       4.110348159444e-14      -7.461928269530e-13       0.000000000000e+00       2.265660624970e-11       2.903475192407e-12      -7.939262186051e-15 
   72       2.325320401393e-10       4.272051949792e-14      -8.020552321066e-13       0.000000000000e+00       2.191102855260e-11       2.822096712747e-12      -8.228576648932e-15 
   73       2.355328986352e-10       4.436349397443e-14      -8.593516315389e-13       0.000000000000e+00       2.119935303227e-11       2.744208423866e-12      -8.539250316912e-15 
   74       2.385618224051e-10       4.603148120278e-14      -9.180365652191e-13       0.000000000000e+00       2.051893623812e-11       2.669512974680e-12      -8.848374436260e-15 
   75       2.416181709574e-10       4.772350514995e-14      -9.780606476241e-13       0.000000000000e+00       1.986634053186e-11       2.597624905765e-12      -9.130458198711e-15 
   76       2.447012749592e-10       4.943847856402e-14      -1.039374595917e-12       0.000000000000e+00       1.923818713671e-11       2.528169513455e-12      -9.362863203116e-15 
   77       2.478119101859e-10       5.117501481497e-14      -1.101942321860e-12       0.000000000000e+00       1.863397007568e-11       2.461108616888e-12      -9.543443584756e-15 
   78       2.509510472869e-10       5.293158052683e-14      -1.165730107407e-12       0.000000000000e+00       1.805369594612e-11       2.396467600137e-12      -9.675979260009e-15 
   79       2.541193929332e-10       5.470654920931e-14      -1.230702728042e-12       0.000000000000e+00       1.749702679999e-11       2.334236385194e-12      -9.764965339882e-15 
   80       2.573173739015e-10       5.649819947849e-14      -1.296823464776e-12       0.000000000000e+00       1.696326431449e-11       2.274367754342e-12      -9.815638205226e-15 
   81       2.605451211589e-10       5.830471327761e-14      -1.364054116142e-12       0.000000000000e+00       1.645133396269e-11       2.216775672516e-12      -9.834001581952e-15 
   82       2.638024539465e-10       6.012417409782e-14      -1.432355010195e-12       0.000000000000e+00       1.595976918418e-11       2.161333609669e-12      -9.826852616243e-15 
   83       2.670888638648e-10       6.195456519897e-14      -1.501685016509e-12       0.000000000000e+00       1.548669555570e-11       2.107872863132e-12      -9.801807949768e-15 
   84       2.704037984578e-10       6.379393294627e-14      -1.572002909309e-12       0.000000000000e+00       1.503028621475e-11       2.056225652811e-12      -9.765617393177e-15 
   85       2.737476008477e-10       6.564091182958e-14      -1.643271690243e-12       0.000000000000e+00       1.459024955148e-11       2.006366290188e-12      -9.718726624397e-15 
   86       2.771206974157e-10       6.749428362370e-14      -1.715455007564e-12       0.000000000000e+00       1.416656026893e-11       1.958290445097e-12      -9.659856717497e-15 
   87       2.805233014298e-10       6.935282099224e-14      -1.788515902903e-12       0.000000000000e+00       1.375900226555e-11       1.911971542163e-12      -9.587633735814e-15 
   88       2.839554021622e-10       7.121528848337e-14      -1.862416845972e-12       0.000000000000e+00       1.336716072612e-11       1.867359835645e-12      -9.500586027307e-15 
   89       2.874167540078e-10       7.308044352570e-14      -1.937119769272e-12       0.000000000000e+00       1.299041421253e-11       1.824381484289e-12      -9.397141519911e-15 
   90       2.909068656019e-10       7.494703742404e-14      -2.012586102799e-12       0.000000000000e+00       1.262792675470e-11       1.782937626177e-12      -9.275625016886e-15 
