# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  101       4.435616174562e-10       1.314250855362e-13      -4.934786760185e-12       0.000000000000e+00       1.657085598693e-11      -1.417291052728e-14      -1.026683637777e-14 
  102       4.489853260102e-10       1.322021633167e-13      -5.004989201846e-12       0.000000000000e+00       1.614717072757e-11      -8.702477041618e-15      -1.011609907812e-14 
  103       4.544103909909e-10       1.328854785490e-13      -5.072129458286e-12       0.000000000000e+00       1.573695372408e-11      -3.885107822378e-15      -9.949542811653e-15 
  104       4.598341132897e-10       1.334739446610e-13      -5.136081768959e-12       0.000000000000e+00       1.533918348379e-11       2.141469938019e-16      -9.765053993691e-15 
  105       4.652544934965e-10       1.339667011190e-13      -5.196722818112e-12       0.000000000000e+00       1.495363408650e-11       3.670355842678e-15      -9.565184812194e-15 
  106       4.706696114895e-10       1.343630721719e-13      -5.253931160908e-12       0.000000000000e+00       1.458021776900e-11       6.603380490900e-15      -9.353938984383e-15 
  107       4.760774054980e-10       1.346625556971e-13      -5.307587095969e-12       0.000000000000e+00       1.421875178734e-11       9.144552695126e-15      -9.135646827616e-15 
  108       4.814756677196e-10       1.348648283628e-13      -5.357572779917e-12       0.000000000000e+00       1.386895528237e-11       1.143696241780e-14      -8.914972958543e-15 
  109       4.868620399387e-10       1.349697507914e-13      -5.403772341918e-12       0.000000000000e+00       1.353044614531e-11       1.363574604291e-14      -8.696923992258e-15 
  110       4.922340091438e-10       1.349773727218e-13      -5.446071998226e-12       0.000000000000e+00       1.320273788324e-11       1.590837459179e-14      -8.486856241457e-15 
  111       4.975889031459e-10       1.348879381729e-13      -5.484360166725e-12       0.000000000000e+00       1.288523648464e-11       1.843494193885e-14      -8.290483415590e-15 
  112       5.029238861960e-10       1.347018906061e-13      -5.518527581475e-12       0.000000000000e+00       1.257723728495e-11       2.140845302738e-14      -8.113884320016e-15 
  113       5.082361307366e-10       1.344199065038e-13      -5.548468329783e-12       0.000000000000e+00       1.227807112330e-11       2.497972342549e-14      -7.961780236653e-15 
  114       5.135233663598e-10       1.340429898024e-13      -5.574082864983e-12       0.000000000000e+00       1.198757022025e-11       2.908365892043e-14      -7.832106666766e-15 
  115       5.187833914064e-10       1.335723989686e-13      -5.595275585827e-12       0.000000000000e+00       1.170565478805e-11       3.359175290656e-14      -7.720775980832e-15 
  116       5.240139002434e-10       1.330096250042e-13      -5.611954069319e-12       0.000000000000e+00       1.143218721072e-11       3.836531243530e-14      -7.623338873438e-15 
  117       5.292124805233e-10       1.323563968738e-13      -5.624029193853e-12       0.000000000000e+00       1.116697030030e-11       4.325523046762e-14      -7.534975943956e-15 
  118       5.343766104420e-10       1.316146869319e-13      -5.631415262345e-12       0.000000000000e+00       1.090974555310e-11       4.810175812645e-14      -7.450489277222e-15 
  119       5.395036559979e-10       1.307867163513e-13      -5.634030125376e-12       0.000000000000e+00       1.066019140588e-11       5.273427694923e-14      -7.364294024211e-15 
  120       5.445908682505e-10       1.298749605500e-13      -5.631795304325e-12       0.000000000000e+00       1.041792149216e-11       5.697107114035e-14      -7.270409982719e-15 
  121       5.496353805787e-10       1.288821546189e-13      -5.624636114505e-12       0.000000000000e+00       1.018248289834e-11       6.061909982362e-14      -7.162453178034e-15 
  122       5.546343628887e-10       1.278112637718e-13      -5.612481915769e-12       0.000000000000e+00       9.953448317614e-12       6.352312867810e-14      -7.035229941267e-15 
  123       5.595855103025e-10       1.266653792509e-13      -5.595266634747e-12       0.000000000000e+00       9.730708313202e-12       6.572005370232e-14      -6.889746146596e-15 
  124       5.644866061561e-10       1.254478205353e-13      -5.572928535312e-12       0.000000000000e+00       9.514209770126e-12       6.730210132254e-14      -6.728764852034e-15 
  125       5.693353686470e-10       1.241621743342e-13      -5.545410219394e-12       0.000000000000e+00       9.303864045800e-12       6.836923458367e-14      -6.555260097472e-15 
  126       5.741294493479e-10       1.228122997345e-13      -5.512658751142e-12       0.000000000000e+00       9.099545977143e-12       6.902932011888e-14      -6.372421300213e-15 
  127       5.788664317207e-10       1.214023333487e-13      -5.474625781078e-12       0.000000000000e+00       8.901092887691e-12       6.939829511931e-14      -6.183657650510e-15 
  128       5.835438296299e-10       1.199366944631e-13      -5.431267670252e-12       0.000000000000e+00       8.708303594706e-12       6.960033430367e-14      -5.992602507091e-15 
  129       5.881590858567e-10       1.184200901852e-13      -5.382545614400e-12       0.000000000000e+00       8.520937416284e-12       6.976801688794e-14      -5.803117792698e-15 
  130       5.927095706121e-10       1.168575205922e-13      -5.328425768101e-12       0.000000000000e+00       8.338713178471e-12       7.004249355500e-14      -5.619298389614e-15 
  131       5.971925800512e-10       1.152542838782e-13      -5.268879368931e-12       0.000000000000e+00       8.161308222366e-12       7.057365342430e-14      -5.445476535201e-15 
  132       6.016054713198e-10       1.136158717056e-13      -5.203882171573e-12       0.000000000000e+00       7.988422874611e-12       7.148365769065e-14      -5.285207635215e-15 
  133       6.059460872163e-10       1.119476316534e-13      -5.133412418184e-12       0.000000000000e+00       7.819983779565e-12       7.275276619770e-14      -5.138095448180e-15 
  134       6.102123744883e-10       1.102550781280e-13      -5.057452884204e-12       0.000000000000e+00       7.655960603832e-12       7.432152101405e-14      -5.002633031648e-15 
  135       6.144022508370e-10       1.085440032677e-13      -4.975991667165e-12       0.000000000000e+00       7.496301988816e-12       7.612619875413e-14      -4.877188239646e-15 
  136       6.185136043641e-10       1.068204813398e-13      -4.889022306131e-12       0.000000000000e+00       7.340935005297e-12       7.809872714906e-14      -4.760001155926e-15 
  137       6.225442930189e-10       1.050908731387e-13      -4.796543901140e-12       0.000000000000e+00       7.189764607996e-12       8.016660161766e-14      -4.649181527213e-15 
  138       6.264921440451e-10       1.033618303825e-13      -4.698561232642e-12       0.000000000000e+00       7.042673090150e-12       8.225280183738e-14      -4.542706196453e-15 
  139       6.303549534279e-10       1.016403001110e-13      -4.595084880938e-12       0.000000000000e+00       6.899519538077e-12       8.427570831523e-14      -4.438416536061e-15 
  140       6.341304853410e-10       9.993352908272e-14      -4.486131345620e-12       0.000000000000e+00       6.760139285749e-12       8.614901895875e-14      -4.334015881170e-15 
  141       6.378164715931e-10       9.824906817243e-14      -4.371723165012e-12       0.000000000000e+00       6.624343369363e-12       8.778166564696e-14      -4.227066962879e-15 
  142       6.414106110755e-10       9.659477676854e-14      -4.251889035608e-12       0.000000000000e+00       6.491917981905e-12       8.907773080130e-14      -4.114989341500e-15 
  143       6.449106850956e-10       9.497860998413e-14      -4.126661886447e-12       0.000000000000e+00       6.362666319875e-12       8.995989015615e-14      -3.995662370328e-15 
  144       6.483149174513e-10       9.340794719488e-14      -3.996072634533e-12       0.000000000000e+00       6.236539957467e-12       9.044254023069e-14      -3.869306972110e-15 
  145       6.516216492121e-10       9.189020489979e-14      -3.860156033682e-12       0.000000000000e+00       6.113519536431e-12       9.056580452413e-14      -3.736786634083e-15 
  146       6.548292261622e-10       9.043305102744e-14      -3.718952770498e-12       0.000000000000e+00       5.993573248977e-12       9.037271220680e-14      -3.599019600919e-15 
  147       6.579359989228e-10       8.904440806769e-14      -3.572509571895e-12       0.000000000000e+00       5.876656539389e-12       8.990925179006e-14      -3.456979836700e-15 
  148       6.609403230743e-10       8.773245620343e-14      -3.420879312619e-12       0.000000000000e+00       5.762711805632e-12       8.922442479639e-14      -3.311697986903e-15 
  149       6.638405592785e-10       8.650563644229e-14      -3.264121122772e-12       0.000000000000e+00       5.651668100963e-12       8.837029942936e-14      -3.164262340380e-15 
  150       6.666350734013e-10       8.537265374838e-14      -3.102300495332e-12       0.000000000000e+00       5.543440835542e-12       8.740206424366e-14      -3.015819791338e-15 
  151       6.693222366344e-10       8.434248017406e-14      -2.935489393673e-12       0.000000000000e+00       5.437931478044e-12       8.637808181512e-14      -2.867576801320e-15 
  152       6.719004256181e-10       8.342435799160e-14      -2.763766359094e-12       0.000000000000e+00       5.335027257267e-12       8.535994241070e-14      -2.720800361188e-15 
  153       6.743680225633e-10       8.262780282499e-14      -2.587216618334e-12       0.000000000000e+00       5.234600863743e-12       8.441251765854e-14      -2.576818953101e-15 
  154       6.767234153738e-10       8.196260678164e-14      -2.405932191094e-12       0.000000000000e+00       5.136510151348e-12       8.360401421793e-14      -2.437023512497e-15 
