# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   58       1.933406729242e-10       2.277956813158e-14      -1.596906274060e-13       1.198855580843e-16       3.674115954093e-11       4.320897526575e-12      -5.100435923462e-15 
   59       1.959553408707e-10       2.398956490015e-14      -1.947530275977e-13       1.240770423919e-16       3.535317465740e-11       4.177488500431e-12      -5.860829410658e-15 
   60       1.985943675111e-10       2.523404751472e-14      -2.313883588124e-13       1.283394535485e-16       3.403352849094e-11       4.040277629038e-12      -6.583453487379e-15 
   61       2.012580541322e-10       2.651291386990e-14      -2.696649784386e-13       1.326725604372e-16       3.277263288769e-11       3.908167621288e-12      -7.106327561352e-15 
   62       2.039480808244e-10       2.782577995415e-14      -3.095906893355e-13       1.370763541131e-16       3.156924779936e-11       3.781094605434e-12      -7.419763535677e-15 
   63       2.066660553570e-10       2.917213212866e-14      -3.511548557339e-13       1.415509034121e-16       3.042344118830e-11       3.659189119010e-12      -7.559590738660e-15 
   64       2.094129531265e-10       3.055138162438e-14      -3.943437720963e-13       1.460963029978e-16       2.933396589069e-11       3.542464709271e-12      -7.568273970010e-15 
   65       2.121890711847e-10       3.196286262644e-14      -4.391406009901e-13       1.507126747377e-16       2.829818472471e-11       3.430810924296e-12      -7.495200652608e-15 
   66       2.149939822670e-10       3.340583035864e-14      -4.855253109623e-13       1.554001690788e-16       2.731199559873e-11       3.323986304103e-12      -7.396967984284e-15 
   67       2.178264888205e-10       3.487945916789e-14      -5.334746144129e-13       1.601589664239e-16       2.636975661951e-11       3.221611371753e-12      -7.337670089597e-15 
   68       2.206852966217e-10       3.638289381038e-14      -5.829638818897e-13       1.649892724151e-16       2.546579362750e-11       3.123287361312e-12      -7.374181448820e-15 
   69       2.235712968886e-10       3.791541965924e-14      -6.339734742626e-13       1.698912996001e-16       2.459944492193e-11       3.028996004639e-12      -7.507902593645e-15 
   70       2.264856661233e-10       3.947632370269e-14      -6.864835879037e-13       1.748652845057e-16       2.377090888759e-11       2.938768533053e-12      -7.723707746701e-15 
   71       2.294291603635e-10       4.106484384901e-14      -7.404723804216e-13       1.799114945998e-16       2.297971820756e-11       2.852563382860e-12      -8.003988583606e-15 
   72       2.324020876140e-10       4.268016837159e-14      -7.959159590825e-13       1.850302295116e-16       2.222470544268e-11       2.770262402244e-12      -8.328557657821e-15 
   73       2.354042802790e-10       4.432143535407e-14      -8.527883692329e-13       1.902218222517e-16       2.150396861107e-11       2.691667058151e-12      -8.674551825498e-15 
   74       2.384350675942e-10       4.598773213544e-14      -9.110615827206e-13       1.954866404322e-16       2.081483676758e-11       2.616494643171e-12      -9.016335670330e-15 
   75       2.414932480584e-10       4.767809475519e-14      -9.707054863170e-13       2.008250874871e-16       2.015383558325e-11       2.544374482427e-12      -9.325404928402e-15 
   76       2.445776296456e-10       4.939144729659e-14      -1.031687070983e-12       2.062375347597e-16       1.951755015129e-11       2.474939374159e-12      -9.576464921933e-15 
   77       2.476888251078e-10       5.112640837342e-14      -1.093967854582e-12       2.117241007719e-16       1.890547113574e-11       2.408127546919e-12      -9.767159012679e-15 
   78       2.508277354900e-10       5.288144818310e-14      -1.157505965968e-12       2.172848337332e-16       1.831760750792e-11       2.343929130228e-12      -9.901778983979e-15 
   79       2.539949957258e-10       5.465494371955e-14      -1.222256874932e-12       2.229197769088e-16       1.775361960031e-11       2.282293995261e-12      -9.985438749564e-15 
   80       2.571909587127e-10       5.644517698589e-14      -1.288173364239e-12       2.286289684210e-16       1.721280308435e-11       2.223129914580e-12      -1.002410440197e-14 
   81       2.604156793864e-10       5.825033320706e-14      -1.355205501661e-12       2.344124410530e-16       1.669407294833e-11       2.166300721862e-12      -1.002462426094e-14 
   82       2.636688987962e-10       6.006849904256e-14      -1.423300612014e-12       2.402702220505e-16       1.619594747516e-11       2.111624471625e-12      -9.994758921833e-15 
   83       2.669500281792e-10       6.189766079910e-14      -1.492403249189e-12       2.462023329247e-16       1.571653222025e-11       2.058871598965e-12      -9.943211304052e-15 
   84       2.702584715841e-10       6.373587168318e-14      -1.562459927868e-12       2.522087983172e-16       1.525398067061e-11       2.007821941829e-12      -9.877868478470e-15 
   85       2.735946900780e-10       6.558178933155e-14      -1.633434281218e-12       2.582896747163e-16       1.480799906306e-11       1.958450700317e-12      -9.800126439475e-15 
   86       2.769592855847e-10       6.743422452928e-14      -1.705294376431e-12       2.644450261616e-16       1.437856281709e-11       1.910770074787e-12      -9.709675218227e-15 
   87       2.803526679373e-10       6.929198113101e-14      -1.778008229722e-12       2.706749155599e-16       1.396545414131e-11       1.864772305831e-12      -9.606203447220e-15 
   88       2.837750446435e-10       7.115385711463e-14      -1.851543858365e-12       2.769794046404e-16       1.356825402277e-11       1.820428823296e-12      -9.489398354557e-15 
   89       2.872264106493e-10       7.301864563497e-14      -1.925869332713e-12       2.833585539094e-16       1.318633421623e-11       1.777689395296e-12      -9.358945758226e-15 
   90       2.907065381047e-10       7.488513607751e-14      -2.000952828235e-12       2.898124226052e-16       1.281884923346e-11       1.736481277229e-12      -9.214530060376e-15 
   91       2.942149661275e-10       7.675211511202e-14      -2.076762677541e-12       2.963410686529e-16       1.246472833248e-11       1.696708360794e-12      -9.055834241590e-15 
   92       2.977509905686e-10       7.861836774628e-14      -2.153267422410e-12       3.029445486196e-16       1.212266750686e-11       1.658250323006e-12      -8.882539855165e-15 
   93       3.013139072374e-10       8.048259823668e-14      -2.230430759701e-12       3.096229995812e-16       1.179143895857e-11       1.620991409992e-12      -8.694735522484e-15 
   94       3.049038056554e-10       8.234317692465e-14      -2.308195396541e-12       3.163768989080e-16       1.147089015857e-11       1.584913588800e-12      -8.494212710359e-15 
   95       3.085208763148e-10       8.419835709539e-14      -2.386496851851e-12       3.232068436495e-16       1.116108093316e-11       1.550015897433e-12      -8.283365734922e-15 
   96       3.121651611885e-10       8.604635168255e-14      -2.465268328297e-12       3.301134731680e-16       1.086197576503e-11       1.516285620155e-12      -8.064806151795e-15 
   97       3.158365469747e-10       8.788533322176e-14      -2.544440694221e-12       3.370974702178e-16       1.057344014061e-11       1.483697843293e-12      -7.841368357794e-15 
   98       3.195347583403e-10       8.971343380422e-14      -2.623942465589e-12       3.441595620245e-16       1.029523689736e-11       1.452215011052e-12      -7.616115192633e-15 
   99       3.232593511650e-10       9.152874503029e-14      -2.703699787920e-12       3.513005213643e-16       1.002702257115e-11       1.421786481317e-12      -7.392343540627e-15 
  100       3.270097057850e-10       9.332931796304e-14      -2.783636418230e-12       3.585211676433e-16       9.768343743546e-12       1.392348081465e-12      -7.173589932391e-15 
  101       3.307850202372e-10       9.511316308187e-14      -2.863673706968e-12       3.658223679767e-16       9.518633389149e-12       1.363821664168e-12      -6.963636146552e-15 
  102       3.345843035029e-10       9.687825023602e-14      -2.943730579954e-12       3.732050382680e-16       9.277207222913e-12       1.336114663208e-12      -6.766514811444e-15 
  103       3.384063687517e-10       9.862250859819e-14      -3.023723520320e-12       3.806701442885e-16       9.043260047477e-12       1.309119649277e-12      -6.586515006815e-15 
  104       3.422500858024e-10       1.003439204319e-13      -3.103571351037e-12       3.882186105173e-16       8.816048328969e-12       1.282739421851e-12      -6.427214544114e-15 
  105       3.461151918977e-10       1.020408169189e-13      -3.183210357187e-12       3.958510303129e-16       8.595473880304e-12       1.256967101820e-12      -6.288415862192e-15 
  106       3.500015783680e-10       1.037116223935e-13      -3.262581182330e-12       4.035679184200e-16       8.381572582419e-12       1.231816080467e-12      -6.168804732052e-15 
  107       3.539090373343e-10       1.053547650694e-13      -3.341624244599e-12       4.113697997772e-16       8.174333609895e-12       1.207295287960e-12      -6.066881583477e-15 
  108       3.578372578002e-10       1.069686780247e-13      -3.420279771400e-12       4.192572095823e-16       7.973697824748e-12       1.183409029771e-12      -5.980956410896e-15 
  109       3.617858217450e-10       1.085518001861e-13      -3.498487834097e-12       4.272306933583e-16       7.779556170223e-12       1.160156823106e-12      -5.909143679249e-15 
  110       3.657542002157e-10       1.101025773133e-13      -3.576188382705e-12       4.352908070190e-16       7.591748064584e-12       1.137533233324e-12      -5.849357229845e-15 
  111       3.697417494196e-10       1.116194629841e-13      -3.653321280584e-12       4.434381169343e-16       7.410059794909e-12       1.115527710360e-12      -5.799305186232e-15 
  112       3.737477068165e-10       1.131009195779e-13      -3.729826339133e-12       4.516731999964e-16       7.234222910877e-12       1.094124425154e-12      -5.756484860056e-15 
  113       3.777711872116e-10       1.145454192612e-13      -3.805643352475e-12       4.599966436850e-16       7.063912618568e-12       1.073302106071e-12      -5.718177656926e-15 
  114       3.818111788474e-10       1.159514449716e-13      -3.880712132157e-12       4.684090461332e-16       6.898746174246e-12       1.053033875326e-12      -5.681443982278e-15 
  115       3.858665394966e-10       1.173174914020e-13      -3.954972541835e-12       4.769110161930e-16       6.738281278158e-12       1.033287085408e-12      -5.643118147237e-15 
  116       3.899361542690e-10       1.186420958639e-13      -4.028363535602e-12       4.855031694929e-16       6.582113065204e-12       1.014031347641e-12      -5.600458988938e-15 
  117       3.940194391541e-10       1.199239330255e-13      -4.100820066140e-12       4.941861159252e-16       6.430181888935e-12       9.952640749693e-13      -5.553202363118e-15 
  118       3.981158916467e-10       1.211617335945e-13      -4.172275864052e-12       5.029604707540e-16       6.282500116248e-12       9.769877519775e-13      -5.501749791470e-15 
