# Matter power spectrum P(k) at redshift z=0.7
# for k=0.000105879 to 1.10569 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.341549896939e-02       9.229549614467e+03 
       2.354875258277e-02       9.206702616275e+03 
       2.368212203154e-02       9.183623063753e+03 
       2.381560973650e-02       9.160310468222e+03 
       2.394921817740e-02       9.136752342058e+03 
       2.408294989438e-02       9.112959627426e+03 
       2.421680748953e-02       9.088940073464e+03 
       2.435079362851e-02       9.064694710430e+03 
       2.448491104221e-02       9.040259745508e+03 
       2.461916252840e-02       9.015600561730e+03 
       2.475355095358e-02       8.990733177688e+03 
       2.488807925472e-02       8.965673237592e+03 
       2.502275044120e-02       8.940417304666e+03 
       2.515756759671e-02       8.914971534682e+03 
       2.529253388128e-02       8.889346288950e+03 
       2.542765253337e-02       8.863531355599e+03 
       2.556292687198e-02       8.837562161195e+03 
       2.569836029889e-02       8.811388303427e+03 
       2.583395630096e-02       8.785068881791e+03 
       2.596971845248e-02       8.758589570802e+03 
       2.610565041766e-02       8.731936091305e+03 
       2.624175595314e-02       8.705161005444e+03 
       2.637803891062e-02       8.678225762244e+03 
       2.651450323958e-02       8.651141223387e+03 
       2.665115299014e-02       8.623931426599e+03 
       2.678799231592e-02       8.596569461699e+03 
       2.692502547707e-02       8.569094318139e+03 
       2.706225684344e-02       8.541474667619e+03 
       2.719969089779e-02       8.513752315147e+03 
       2.733733223916e-02       8.485919665787e+03 
       2.747518558637e-02       8.457948227298e+03 
       2.761325578161e-02       8.429879180335e+03 
       2.775154779422e-02       8.401672673356e+03 
       2.789006672454e-02       8.373407619971e+03 
       2.802881780801e-02       8.345030075317e+03 
       2.816780641931e-02       8.316559632258e+03 
       2.830703807672e-02       8.288002932488e+03 
       2.844651844669e-02       8.259325706571e+03 
       2.858625334847e-02       8.230625919599e+03 
       2.872624875905e-02       8.201823676336e+03 
       2.886651081819e-02       8.172909379587e+03 
       2.900704583375e-02       8.143974169661e+03 
       2.914786028713e-02       8.114898923852e+03 
       2.928896083903e-02       8.085802194155e+03 
       2.943035433538e-02       8.056642905810e+03 
       2.957204781350e-02       8.027397473453e+03 
       2.971404850862e-02       7.998142803430e+03 
       2.985636386054e-02       7.968783680426e+03 
       2.999900152067e-02       7.939412642792e+03 
       3.014196935931e-02       7.909958773645e+03 
       3.028527547330e-02       7.880474041644e+03 
       3.042892819393e-02       7.850946321383e+03 
       3.057293609525e-02       7.821379128630e+03 
       3.071730800275e-02       7.791757989716e+03 
       3.086205300238e-02       7.762110167485e+03 
       3.100718045001e-02       7.732443793768e+03 
       3.115269998131e-02       7.702737761304e+03 
       3.129862152211e-02       7.673009036745e+03 
       3.144495529917e-02       7.643242472670e+03 
       3.159171185150e-02       7.613464852640e+03 
       3.173890204224e-02       7.583657196411e+03 
       3.188653707103e-02       7.553802734136e+03 
       3.203462848701e-02       7.524009419920e+03 
       3.218318820249e-02       7.494138771537e+03 
       3.233222850719e-02       7.464278325850e+03 
       3.248176208331e-02       7.434400436984e+03 
       3.263180202119e-02       7.404513797782e+03 
       3.278236183593e-02       7.374629633405e+03 
       3.293345548473e-02       7.344740338644e+03 
       3.308509738519e-02       7.314824071608e+03 
