# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04043e-05 to 1.07542 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.184092661659e-02       6.988141771648e+03 
       4.206164663746e-02       6.952766245596e+03 
       4.228551135160e-02       6.917350613749e+03 
       4.251267096986e-02       6.881873978228e+03 
       4.274328584931e-02       6.846362690873e+03 
       4.297752740672e-02       6.810805177538e+03 
       4.321557913547e-02       6.775132190542e+03 
       4.345763774010e-02       6.739452139220e+03 
       4.370391440476e-02       6.703693275966e+03 
       4.395463621474e-02       6.667862735751e+03 
       4.421004775344e-02       6.631930205320e+03 
       4.447041290077e-02       6.595884488904e+03 
       4.473601686380e-02       6.559741854012e+03 
       4.500716847560e-02       6.523507336369e+03 
       4.528420280537e-02       6.487112977324e+03 
       4.556748413018e-02       6.450562461786e+03 
       4.585740932915e-02       6.413878052481e+03 
       4.615441177200e-02       6.377029722067e+03 
       4.645896578891e-02       6.340011445150e+03 
       4.677159182594e-02       6.302776648856e+03 
       4.709286241262e-02       6.265319220124e+03 
       4.742340909487e-02       6.227636303956e+03 
       4.776393052090e-02       6.189673374925e+03 
       4.811520190917e-02       6.151456466289e+03 
       4.847808618092e-02       6.112924546941e+03 
       4.885354710597e-02       6.074034652987e+03 
       4.924266489506e-02       6.034792779550e+03 
       4.964665477821e-02       5.995112628953e+03 
       5.006688924464e-02       5.954990598067e+03 
       5.050492479254e-02       5.914368556672e+03 
       5.096253425712e-02       5.873167385495e+03 
       5.144174606646e-02       5.831350831892e+03 
       5.194489213004e-02       5.788807572614e+03 
       5.247466651335e-02       5.745502760172e+03 
       5.303419760686e-02       5.701285457409e+03 
       5.362713716856e-02       5.656018565902e+03 
       5.425777039091e-02       5.609598002871e+03 
       5.493115195053e-02       5.561757030113e+03 
       5.565327366489e-02       5.512305995337e+03 
       5.643126949968e-02       5.460910696906e+03 
       5.727366238898e-02       5.407194833156e+03 
       5.819065294733e-02       5.350637487387e+03 
       5.919443945408e-02       5.290547806087e+03 
       6.029953579553e-02       5.226035475762e+03 
       6.152301034023e-02       5.155888626472e+03 
       6.288449255579e-02       5.078516933779e+03 
       6.440567940875e-02       4.991783111759e+03 
       6.610894446587e-02       4.892997933706e+03 
       6.801461634759e-02       4.778931945311e+03 
       7.013679076075e-02       4.646130039560e+03 
       7.247844089833e-02       4.491626109796e+03 
       7.502789424066e-02       4.314060566926e+03 
       7.775921361604e-02       4.114776791209e+03 
       8.063724817448e-02       3.898351794249e+03 
       8.362502064588e-02       3.672118588088e+03 
       8.668983919050e-02       3.444911550870e+03 
       8.980619615365e-02       3.225509041274e+03 
       9.295586367043e-02       3.021407098481e+03 
       9.612656893541e-02       2.838042366491e+03 
       9.931036454251e-02       2.678500136270e+03 
       1.025022303274e-01       2.543603576043e+03 
       1.056990440504e-01       2.432213077528e+03 
       1.088988823444e-01       2.341632859972e+03 
       1.121005672213e-01       2.268077854092e+03 
       1.153033796778e-01       2.207092357083e+03 
       1.185068817000e-01       2.153995642306e+03 
       1.217108066937e-01       2.104295468805e+03 
       1.249149924255e-01       2.054057089443e+03 
       1.281193401231e-01       2.000263266077e+03 
       1.313237895819e-01       1.941003579183e+03 
       1.345283040326e-01       1.875583744176e+03 
       1.377328609490e-01       1.804446569997e+03 
       1.409374464660e-01       1.728978211756e+03 
       1.441420519895e-01       1.651215588082e+03 
       1.473466721387e-01       1.573507680158e+03 
       1.505513034956e-01       1.498200475960e+03 
       1.537559438453e-01       1.427363858207e+03 
       1.569605917136e-01       1.362606770861e+03 
       1.601652460861e-01       1.304968743163e+03 
       1.633699062363e-01       1.254880665609e+03 
       1.665745716206e-01       1.212202083854e+03 
