# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   56       1.801895493013e-10       1.669049710380e-14       8.369453592326e-15       8.572849616247e-17       3.339406127040e-11       5.593433389973e-12      -3.674113622636e-15 
   57       1.825224568447e-10       1.764423497241e-14      -1.690345822442e-14       8.883848313564e-17       3.209253139169e-11       5.404590008316e-12      -3.094786662537e-15 
   58       1.848747866052e-10       1.862837860275e-14      -4.343334719770e-14       9.200425600638e-17       3.085710371160e-11       5.224915177714e-12      -2.758649897795e-15 
   59       1.872449330177e-10       1.964266601494e-14      -7.116233486683e-14       9.522563647861e-17       2.967880906610e-11       5.053497606086e-12      -2.749306644671e-15 
   60       1.896343707620e-10       2.068708218611e-14      -1.001026086601e-13       9.850250438974e-17       2.855655097266e-11       4.890179033062e-12      -3.041620515291e-15 
   61       1.920449378346e-10       2.176166448988e-14      -1.302883246162e-13       1.018347480975e-16       2.749038688653e-11       4.734847955514e-12      -3.573316819461e-15 
   62       1.944778058973e-10       2.286643129026e-14      -1.617581152395e-13       1.052222461509e-16       2.647901113867e-11       4.587172316927e-12      -4.270955990355e-15 
   63       1.969334292483e-10       2.400138196489e-14      -1.945553483330e-13       1.086648671051e-16       2.551967484870e-11       4.446586795811e-12      -5.049442784024e-15 
   64       1.994114937922e-10       2.516649692837e-14      -2.287283858317e-13       1.121624693371e-16       2.460810583809e-11       4.312280094112e-12      -5.811535478922e-15 
   65       2.019108660106e-10       2.636173765557e-14      -2.643308426353e-13       1.157149008609e-16       2.373842854316e-11       4.183182225618e-12      -6.447355075418e-15 
